letter,first_stat,last_stat
-,0.0,8.797009016934242e-05
.,0.0,4.398504508467121e-05
a,0.09667912909610733,0.01341543875082472
b,0.04587640202331207,0.0006597756762700682
c,0.1151968330767539,0.0041345942379590935
d,0.07204750384869145,0.010116560369474378
e,0.03985045084671212,0.29162084891137013
f,0.04266549373213108,0.007125577303716736
g,0.026962832636903453,0.002507147569826259
h,0.018253793710138553,0.0021992522542335605
i,0.050846712117879916,0.011392126676929843
j,0.01095227622608313,0.0
k,0.0022432372993182316,0.0018033868484715195
l,0.0287222344402903,0.020804926325049485
m,0.057664394106003956,0.0035188036067736973
n,0.018253793710138553,0.06918847591818782
o,0.01961733010776336,0.0063778315372773255
p,0.09588739828458324,0.0014515064877941499
q,0.0041345942379590935,8.797009016934242e-05
r,0.07407081592258632,0.1356938640862107
s,0.06980426654937322,0.19511765999560152
t,0.04341323949857048,0.12553331867165166
u,0.0052782054101605455,0.01411919947217946
v,0.027402683087750165,0.0008797009016934243
w,0.0016274466681328347,0.00021992522542335608
x,0.00017594018033868485,0.015130855509126897
y,0.001231581262370794,0.003606773696943039
z,0.0011875962172861229,0.0022432372993182316
à,0.0,0.00021992522542335608
â,0.000615790631185397,0.0
è,0.00013195513525401364,0.0
é,0.028634264350120956,0.0603474818561689
ê,8.797009016934242e-05,0.0
ë,0.0,8.797009016934242e-05
î,8.797009016934242e-05,0.0
ï,0.0,4.398504508467121e-05
ô,4.398504508467121e-05,0.00013195513525401364
ù,0.0,4.398504508467121e-05
û,0.0,4.398504508467121e-05
œ,0.0003518803606773697,0.0
