preceding_group,letter,percent
aro,n,0.2708333333333333
aro,u,0.14583333333333334
aro,l,0.125
aro,m,0.125
aro,c,0.10416666666666666
aro,i,0.0625
aro,d,0.04166666666666667
aro,t,0.04166666666666667
aro,v,0.04166666666666667
aro,q,0.020833333333333336
aro,x,0.020833333333333336
aar,o,1.0
aa,r,1.0
a,n,0.11328480436760692
a,c,0.09963603275705185
a,r,0.0905368516833485
a,l,0.0791628753412193
a,p,0.07734303912647862
a,u,0.0732484076433121
a,s,0.07142857142857144
a,b,0.0659690627843494
a,m,0.06278434940855324
a,t,0.04777070063694268
a,d,0.045950864422202004
a,v,0.04185623293903548
a,f,0.03548680618744313
a,g,0.034121929026387623
a,i,0.02911737943585077
a,é,0.00818926296633303
a,j,0.006824385805277525
a,z,0.006369426751592356
a,x,0.0027297543221110098
a,q,0.0022747952684258415
a,î,0.0013648771610555049
a,o,0.0013648771610555049
a,h,0.0009099181073703366
a,y,0.0009099181073703366
a,a,0.0004549590536851683
a,k,0.0004549590536851683
a,ï,0.0004549590536851683
iss,e,0.4942528735632184
iss,a,0.2442528735632184
iss,i,0.11494252873563218
iss,o,0.07471264367816093
iss,u,0.03735632183908046
iss,é,0.028735632183908046
iss,y,0.005747126436781609
ais,s,0.33663366336633666
ais,e,0.25742574257425743
ais,o,0.18316831683168316
ais,a,0.08910891089108912
ais,i,0.08910891089108912
ais,é,0.0297029702970297
ais, ,0.0049504950495049506
ais,c,0.0049504950495049506
ais,n,0.0049504950495049506
bai,n,0.3793103448275862
bai,s,0.3103448275862069
bai,g,0.10344827586206896
bai,l,0.10344827586206896
bai,e,0.034482758620689655
bai,t,0.034482758620689655
bai,x,0.034482758620689655
aba,n,0.3055555555555556
aba,t,0.25
aba,i,0.1388888888888889
aba,s,0.1388888888888889
aba,c,0.027777777777777776
aba,g,0.027777777777777776
aba,k,0.027777777777777776
aba,l,0.027777777777777776
aba,r,0.027777777777777776
aba,u,0.027777777777777776
ab,o,0.25517241379310346
ab,s,0.19310344827586207
ab,a,0.16551724137931034
ab,r,0.1310344827586207
ab,y,0.04827586206896552
ab,d,0.034482758620689655
ab,e,0.027586206896551727
ab,u,0.027586206896551727
ab,b,0.027586206896551727
